Datum	2021-02-18
Zeit	14:25:18

KSP-h(max)[m]	Zeile-Schnitt(alle_Daten)	Zeile_Schnitt(MM-Daten)
0.28	4020	311


Kistler-basierte Maximalwerte
Fz_max[N]	I_max[Ns]	v_max[m/s]	P_abs_max[W]	P_rel_max[W]
4643.951	770.388	11.09	15601.687	224.592
myoMOTION-basierte Maximalwerte
Fz_max[N]	I_max[Ns]	v_max[m/s]	P_abs_max[W]	P_rel_max[W]
4623.2	652.27	9.39	15256.305	219.62


# Zeit[Hz]	Kraft[N]	Impuls[Ns]	Geschw[m/s]	P_abs[W]	P_rel[W]
257.000000	804.539000	21.280000	0.306000	246.452000	3.548000
258.000000	804.539000	21.362000	0.308000	247.401000	3.561000
259.000000	804.539000	21.444000	0.309000	248.353000	3.575000
260.000000	804.502000	21.526000	0.310000	249.290000	3.589000
261.000000	804.502000	21.608000	0.311000	250.241000	3.602000
262.000000	804.837000	21.690000	0.312000	251.296000	3.617000
263.000000	804.837000	21.772000	0.313000	252.250000	3.631000
264.000000	805.178000	21.854000	0.315000	253.309000	3.646000
265.000000	805.178000	21.937000	0.316000	254.267000	3.660000
266.000000	805.178000	22.019000	0.317000	255.221000	3.674000
267.000000	805.518000	22.102000	0.318000	256.288000	3.689000
268.000000	805.518000	22.185000	0.319000	257.246000	3.703000
269.000000	805.518000	22.267000	0.321000	258.206000	3.717000
270.000000	805.518000	22.350000	0.322000	259.164000	3.731000
271.000000	805.816000	22.433000	0.323000	260.221000	3.746000
272.000000	806.145000	22.516000	0.324000	261.290000	3.761000
273.000000	806.145000	22.599000	0.325000	262.256000	3.775000
274.000000	806.485000	22.682000	0.327000	263.331000	3.791000
275.000000	806.485000	22.766000	0.328000	264.300000	3.805000
276.000000	806.485000	22.849000	0.329000	265.266000	3.819000
277.000000	806.485000	22.932000	0.330000	266.235000	3.833000
278.000000	807.161000	23.016000	0.331000	267.427000	3.850000
279.000000	807.161000	23.100000	0.333000	268.403000	3.864000
280.000000	806.826000	23.183000	0.334000	269.261000	3.876000
281.000000	807.161000	23.267000	0.335000	270.347000	3.892000
282.000000	807.161000	23.351000	0.336000	271.319000	3.906000
283.000000	807.459000	23.435000	0.337000	272.396000	3.921000
284.000000	807.155000	23.518000	0.339000	273.268000	3.934000
285.000000	807.155000	23.602000	0.340000	274.243000	3.948000
286.000000	807.496000	23.686000	0.341000	275.332000	3.963000
287.000000	807.496000	23.770000	0.342000	276.310000	3.978000
288.000000	807.496000	23.854000	0.343000	277.285000	3.992000
289.000000	807.496000	23.938000	0.345000	278.263000	4.006000
290.000000	807.496000	24.022000	0.346000	279.239000	4.020000
291.000000	808.129000	24.107000	0.347000	280.438000	4.037000
292.000000	807.794000	24.191000	0.348000	281.303000	4.049000
293.000000	808.129000	24.275000	0.349000	282.401000	4.065000
294.000000	808.129000	24.360000	0.351000	283.383000	4.079000
295.000000	808.469000	24.444000	0.352000	284.486000	4.095000
296.000000	808.469000	24.529000	0.353000	285.472000	4.109000
297.000000	808.469000	24.614000	0.354000	286.457000	4.124000
298.000000	808.469000	24.698000	0.356000	287.443000	4.138000
299.000000	808.469000	24.783000	0.357000	288.428000	4.152000
300.000000	808.469000	24.868000	0.358000	289.414000	4.166000
301.000000	808.810000	24.952000	0.359000	290.522000	4.182000
302.000000	808.810000	25.037000	0.360000	291.512000	4.196000
303.000000	808.810000	25.122000	0.362000	292.499000	4.211000
304.000000	808.810000	25.207000	0.363000	293.489000	4.225000
305.000000	808.810000	25.292000	0.364000	294.476000	4.239000
306.000000	809.107000	25.377000	0.365000	295.575000	4.255000
307.000000	808.772000	25.462000	0.367000	296.442000	4.267000
308.000000	809.107000	25.547000	0.368000	297.554000	4.283000
309.000000	809.410000	25.632000	0.369000	298.657000	4.299000
310.000000	809.410000	25.717000	0.370000	299.652000	4.314000
311.000000	809.410000	25.803000	0.371000	300.645000	4.328000
312.000000	809.074000	25.888000	0.373000	301.514000	4.340000
313.000000	809.415000	25.973000	0.374000	302.632000	4.356000
314.000000	809.750000	26.058000	0.375000	303.754000	4.373000
315.000000	809.750000	26.144000	0.376000	304.750000	4.387000
316.000000	809.750000	26.229000	0.378000	305.748000	4.401000
317.000000	809.415000	26.315000	0.379000	306.616000	4.414000
318.000000	809.415000	26.400000	0.380000	307.610000	4.428000
319.000000	809.415000	26.485000	0.381000	308.603000	4.442000
320.000000	809.755000	26.571000	0.382000	309.728000	4.459000
321.000000	809.415000	26.656000	0.384000	310.594000	4.471000
322.000000	810.090000	26.742000	0.385000	311.849000	4.489000
323.000000	809.755000	26.827000	0.386000	312.720000	4.502000
324.000000	810.090000	26.913000	0.387000	313.845000	4.518000
325.000000	810.090000	26.999000	0.389000	314.847000	4.532000
326.000000	810.090000	27.084000	0.390000	315.845000	4.547000
327.000000	810.388000	27.170000	0.391000	316.965000	4.563000
328.000000	810.388000	27.256000	0.392000	317.965000	4.577000
329.000000	810.388000	27.342000	0.394000	318.970000	4.592000
330.000000	810.388000	27.428000	0.395000	319.971000	4.606000
331.000000	810.388000	27.514000	0.396000	320.975000	4.621000
332.000000	810.388000	27.600000	0.397000	321.976000	4.635000
333.000000	810.060000	27.686000	0.399000	322.849000	4.648000
334.000000	810.060000	27.771000	0.400000	323.846000	4.662000
335.000000	810.395000	27.858000	0.401000	324.983000	4.678000
336.000000	810.400000	27.943000	0.402000	325.986000	4.693000
337.000000	810.400000	28.029000	0.403000	326.991000	4.707000
338.000000	810.735000	28.115000	0.405000	328.128000	4.724000
339.000000	810.735000	28.202000	0.406000	329.136000	4.738000
340.000000	810.735000	28.288000	0.407000	330.140000	4.752000
341.000000	810.735000	28.374000	0.408000	331.148000	4.767000
342.000000	810.735000	28.460000	0.410000	332.151000	4.781000
343.000000	810.735000	28.546000	0.411000	333.159000	4.796000
344.000000	810.735000	28.632000	0.412000	334.163000	4.810000
345.000000	810.401000	28.719000	0.413000	335.032000	4.823000
346.000000	810.735000	28.804000	0.415000	336.171000	4.839000
347.000000	810.704000	28.891000	0.416000	337.167000	4.854000
348.000000	810.370000	28.977000	0.417000	338.029000	4.866000
349.000000	810.704000	29.063000	0.418000	339.175000	4.883000
350.000000	810.370000	29.149000	0.420000	340.037000	4.895000
351.000000	810.370000	29.235000	0.421000	341.042000	4.909000
352.000000	810.370000	29.321000	0.422000	342.042000	4.924000
353.000000	810.370000	29.407000	0.423000	343.047000	4.938000
354.000000	810.711000	29.493000	0.425000	344.192000	4.955000
355.000000	810.370000	29.579000	0.426000	345.054000	4.967000
356.000000	810.711000	29.665000	0.427000	346.200000	4.984000
357.000000	811.012000	29.751000	0.428000	347.339000	5.000000
358.000000	811.012000	29.837000	0.430000	348.344000	5.015000
359.000000	811.012000	29.924000	0.431000	349.355000	5.029000
360.000000	811.012000	30.010000	0.432000	350.361000	5.044000
361.000000	810.683000	30.097000	0.433000	351.228000	5.056000
362.000000	810.683000	30.182000	0.434000	352.230000	5.070000
363.000000	811.023000	30.269000	0.436000	353.388000	5.087000
364.000000	811.023000	30.355000	0.437000	354.394000	5.102000
365.000000	810.720000	30.442000	0.438000	355.271000	5.114000
366.000000	811.023000	30.527000	0.439000	356.407000	5.131000
367.000000	810.720000	30.614000	0.441000	357.285000	5.143000
368.000000	810.720000	30.700000	0.442000	358.286000	5.158000
369.000000	810.720000	30.786000	0.443000	359.296000	5.172000
370.000000	810.433000	30.872000	0.444000	360.169000	5.185000
371.000000	810.433000	30.958000	0.446000	361.176000	5.199000
372.000000	810.433000	31.044000	0.447000	362.175000	5.214000
373.000000	810.433000	31.130000	0.448000	363.182000	5.228000
374.000000	810.433000	31.216000	0.449000	364.181000	5.243000
375.000000	810.104000	31.302000	0.451000	365.039000	5.255000
376.000000	810.104000	31.388000	0.452000	366.034000	5.269000
377.000000	810.104000	31.474000	0.453000	367.039000	5.284000
378.000000	810.104000	31.559000	0.454000	368.034000	5.298000
379.000000	809.770000	31.645000	0.456000	368.885000	5.310000
380.000000	810.067000	31.730000	0.457000	370.014000	5.326000
381.000000	810.067000	31.817000	0.458000	371.019000	5.341000
382.000000	809.738000	31.902000	0.459000	371.862000	5.353000
383.000000	809.738000	31.988000	0.460000	372.863000	5.367000
384.000000	809.738000	32.073000	0.462000	373.855000	5.382000
385.000000	810.073000	32.159000	0.463000	375.013000	5.398000
386.000000	809.410000	32.244000	0.464000	375.699000	5.408000
387.000000	809.777000	32.330000	0.465000	376.868000	5.425000
388.000000	809.113000	32.415000	0.467000	377.551000	5.435000
389.000000	809.411000	32.500000	0.468000	378.684000	5.451000
390.000000	809.114000	32.585000	0.469000	379.537000	5.464000
391.000000	808.779000	32.670000	0.470000	380.370000	5.476000
392.000000	808.747000	32.755000	0.472000	381.342000	5.490000
393.000000	808.450000	32.840000	0.473000	382.190000	5.502000
394.000000	808.450000	32.925000	0.474000	383.173000	5.516000
395.000000	808.450000	33.009000	0.475000	384.160000	5.530000
396.000000	808.450000	33.094000	0.476000	385.143000	5.544000
397.000000	807.817000	33.178000	0.478000	385.826000	5.554000
398.000000	807.817000	33.262000	0.479000	386.802000	5.568000
399.000000	807.817000	33.347000	0.480000	387.785000	5.582000
400.000000	807.817000	33.431000	0.481000	388.761000	5.596000
401.000000	807.817000	33.515000	0.482000	389.744000	5.610000
402.000000	807.488000	33.599000	0.484000	390.560000	5.622000
403.000000	807.488000	33.683000	0.485000	391.539000	5.636000
404.000000	807.488000	33.767000	0.486000	392.514000	5.650000
405.000000	807.488000	33.852000	0.487000	393.493000	5.664000
406.000000	806.485000	33.935000	0.489000	393.974000	5.671000
407.000000	806.826000	34.019000	0.490000	395.111000	5.688000
408.000000	806.485000	34.102000	0.491000	395.913000	5.699000
409.000000	806.485000	34.185000	0.492000	396.881000	5.713000
410.000000	806.485000	34.269000	0.493000	397.848000	5.727000
411.000000	806.156000	34.352000	0.495000	398.652000	5.739000
412.000000	806.156000	34.435000	0.496000	399.616000	5.753000
413.000000	806.156000	34.518000	0.497000	400.581000	5.767000
414.000000	806.156000	34.601000	0.498000	401.545000	5.780000
